# BanRep aggregate-remittance inflows (USD millions).
# Source: Banco de la Republica - "Ingresos de Remesas de trabajadores"
#         suameca.banrep.gov.co series id 4150, idPlan=REMESAS_TRIMESTRAL.
# Cadence (Rev-2 real-world constraint): QUARTERLY. No BanRep-published
#         monthly aggregate-inflow series exists; reference_period rows
#         therefore fall on quarter-end days. See Task-11 test file
#         docstring and contracts/data/banrep_mpr_sources.md for full
#         provenance and methodology notes.
# Compiled manually per Task 11 Rev-2 protocol (no public monthly API
#         available). Real BanRep values, not synthetic.
# Schema: reference_period (YYYY-MM-DD quarter-end), value_usd (float USD
#         millions), mpr_vintage_date (YYYY-MM-DD; BanRep fechaUltimoCargue
#         of the captured snapshot), source_url.
reference_period,value_usd,mpr_vintage_date,source_url
2023-03-31,2475.98,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2023-06-30,2397.40,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2023-09-30,2530.84,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2023-12-31,2686.86,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2024-03-31,2720.77,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2024-06-30,2906.77,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2024-09-30,3052.70,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2024-12-31,3167.99,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2025-03-31,3130.62,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2025-06-30,3277.47,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2025-09-30,3354.00,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
2025-12-31,3336.18,2026-03-06,https://suameca.banrep.gov.co/estadisticas-economicas/informacionSerie/4150/remesas_trabajadores
