address,n_inbound,inbound_wei,n_outbound,outbound_wei
0xc2603f244c8192ad9e81946d20ff6188ef74d173,48,1576033330000000000000000,2,181230983100000000000000
0x4e04be24e76915e498534222e0ce57656b80da6d,44,2475694390000000000000000,6,2475694390000000000000000
0xdfb65e371162fd9ef133a3988309cf80173786e1,43,2126545680000000000000000,6,2126545680000000000000000
0x26030e47282d5e5d40c0ea2c8f67408a571aa75b,40,4681921070000000000000000,9,4681921070000000000000000
0xa4d564d5e066059b953b2c865491c19fc0dc0557,41,4739109780000000000000000,8,4739109780000000000000000
0xead9e60b93c5e4cc72a975d896bc58253f28a02b,42,2300000000000000000000000,6,2300000000000000000000000
0xc216ba3321f65544c9aedac96702af9872c549b2,26,482260539000000000000000000,22,482260539000000000000000000
0xf54e246568e3a9570de6874e714ef6305fe4d7cd,42,2700000000000000000000000,6,2700000000000000000000000
0x65a10d8c74c6cedaf912476f46e3a99b552f876b,41,8699776340000000000000000,6,8699776340000000000000000
0xab9001da6d3f14c520f7d56498760b9db253f09b,41,4799691830000000000000000,6,4799691830000000000000000
0x60fa940e6fd056c3118630bd5b76e3834f1cde95,43,3670736220000000000000000,3,3208191257111553784860557
0xb512531b70bcf1df2f3d233ae4a17426e321d12b,40,6621664420000000000000000,6,6621664420000000000000000
0xf9313dc083a0b152803c48016bb9e3fd78d7008c,36,1336011490000000000000000,9,1336011490000000000000000
0x8b6c8d427025a916389c9a41a494be933680384a,39,1399694050000000000000000,6,1399694050000000000000000
0x7e6d694a6aafd4731c6dbd5bcf384b26ca693916,31,2071836580000000000000000,14,2071836580000000000000000
0xb893c1530c5ab582837d5abd70f9e917493b8167,45,1378720160000000000000000,0,0
0xa78a412cfe0b776d8e5523e12e7c167eebf23faf,42,1545189560000000000000000,2,184145379200000000000000
0xa0ecd742a366a841461f89b784992d756f688a21,32,2671528580000000000000000,11,2671528580000000000000000
0x4ec462ced9966af3d4c7807090006db5ef92ef43,37,2239936650000000000000000,6,2239936650000000000000000
